TABLETYP,ICD10,Pure Victorian Logical,,,,
A,B49,1179,,,,
A,B500,0840,,,,
A,B508,0840,,,,
A,B509,0840,,,,
A,B510,0841,,,,
A,B518,0841,,,,
A,B519,0841,,,,
A,B520,0842,,,,
A,B528,0842,,,,
A,B529,0842,,,,
A,B530,0843,,,,
A,B531,0844,,,,
A,B538,0844,,,,
A,B54,0846,,,,
A,B550,0850,,,,
A,B551,0851,,,,
A,B552,0855,,,,
A,B559,0859,,,,
A,B560,0863,,,,
A,B561,0864,,,,
A,B569,0865,,,,
A,B570,0860,,,,
A,B571,0862,,,,
A,B572,0860,,,,
A,B573,0861,,,,
A,B574,0861,,,,
A,B575,0861,,,,
A,B580,1301,,,,
A,B581,1305,,,,
A,B582,1300,,,,
A,B583,1304,,,,
A,B588,1307,,,,
A,B589,1309,,,,
A,B59,1363,,,,
A,B600,08882,,,,
A,B601,1368,,,,
A,B602,1368,,,,
A,B608,1368,,,,
A,B64,1368,,,,
A,B650,1200,,,,
A,B651,1201,,,,
A,B652,1202,,,,
A,B653,1203,,,,
A,B658,1208,,,,
A,B659,1209,,,,
A,B660,1210,,,,
A,B661,1211,,,,
A,B662,1218,,,,
A,B663,1213,,,,
A,B664,1212,,,,
A,B665,1214,,,,
A,B668,1218,,,,
A,B669,1219,,,,
A,B670,1220,,,,
A,B671,1221,,,,
A,B672,1223,,,,
A,B673,1223,,,,
A,B674,1224,,,,
A,B675,1225,,,,
A,B676,1226,,,,
A,B677,1227,,,,
A,B678,1228,,,,
A,B679,1229,,,,
A,B680,1230,,,,
A,B681,1232,,,,
A,B689,1233,,,,
A,B690,1231,,,,
A,B691,1231,,,,
A,B698,1231,,,,
A,B699,1231,,,,
A,B700,1234,,,,
A,B701,1235,,,,
A,B710,1236,,,,
A,B711,1238,,,,
A,B718,1238,,,,
A,B719,1239,,,,
A,B72,1257,,,,
A,B73,1253,,,,
A,B740,1250,,,,
A,B741,1251,,,,
A,B742,1256,,,,
A,B743,1252,,,,
A,B744,1255,,,,
A,B748,1256,,,,
A,B749,1259,,,,
A,B75,124,,,,
A,B760,1260,,,,
A,B761,1261,,,,
A,B768,1268,,,,
A,B769,1269,,,,
A,B770,1270,,,,
A,B778,1270,,,,
A,B779,1270,,,,
A,B780,1272,,,,
A,B781,1272,,,,
A,B787,1272,,,,
A,B789,1272,,,,
A,B79,1273,,,,
A,B80,1274,,,,
A,B810,1271,,,,
A,B811,1275,,,,
A,B812,1276,,,,
A,B813,1277,,,,
A,B814,1278,,,,
A,B818,1277,,,,
A,B820,1279,,,,
A,B829,129,,,,
A,B830,1280,,,,
A,B831,1281,,,,
A,B832,1288,,,,
A,B833,1288,,,,
A,B834,1288,,,,
A,B838,1288,,,,
A,B839,1289,,,,
A,B850,1320,,,,
A,B851,1321,,,,
A,B852,1329,,,,
A,B853,1322,,,,
A,B854,1323,,,,
A,B86,1330,,,,
A,B870,1340,,,,
A,B871,1340,,,,
A,B872,1340,,,,
A,B873,1340,,,,
A,B874,1340,,,,
A,B878,1340,,,,
A,B879,1340,,,,
A,B880,1338,,,,
A,B881,1341,,,,
A,B882,1341,,,,
A,B883,1342,,,,
A,B888,1368,,,,
A,B889,1349,,,,
A,B89,1369,,,,
A,B900,1371,,,,
A,B901,1372,,,,
A,B902,1373,,,,
A,B908,1374,,,,
A,B909,1370,,,,
A,B91,138,,,,
A,B92,1398,,,,
A,B940,1391,,,,
A,B941,1390,,,,
A,B942,1398,,,,
A,B948,1398,,,,
A,B949,1398,,,,
A,B950,04101,,,,
A,B951,04102,,,,
A,B952,04104,,,,
A,B953,04106,,,,
A,B9541,04103,,,,
A,B9542,04105,,,,
A,B9548,04109,,,,
A,B955,04100,,,,
A,B956,04111,,,,
A,B957,04119,,,,
A,B958,04110,,,,
A,B960,04181,,,,
A,B961,0413,,,,
A,B962,0414,,,,
A,B963,0415,,,,
A,B964,0416,,,,
A,B965,0417,,,,
A,B966,04182,,,,
A,B967,04183,,,,
A,B9681,04186,,,,
A,B9688,04189,,,,
A,B970,0790,,,,
A,B971,0791,,,,
A,B972,07989,,,,
A,B973,07959,,,,
A,B974,07989,,,,
A,B975,07989,,,,
A,B976,07989,,,,
A,B977,0794,,,,
A,B978,07989,,,,
A,B99,1369,,,,
A,C000,1400,,,,
A,C001,1401,,,,
A,C002,1409,,,,
A,C003,1403,,,,
A,C004,1404,,,,
A,C005,1405,,,,
A,C006,1406,,,,
A,C008,1408,,,,
A,C009,1409,,,,
A,C01,1410,,,,
A,C020,1411,,,,
A,C021,1412,,,,
A,C022,1413,,,,
A,C023,1414,,,,
A,C024,1416,,,,
A,C028,1418,,,,
A,C029,1419,,,,
A,C030,1430,,,,
A,C031,1431,,,,
A,C039,1439,,,,
A,C040,1440,,,,
A,C041,1441,,,,
A,C048,1448,,,,
A,C049,1449,,,,
A,C050,1452,,,,
A,C051,1453,,,,
A,C052,1454,,,,
A,C058,1458,,,,
A,C059,1455,,,,
A,C060,1450,,,,
A,C061,1451,,,,
A,C062,1456,,,,
A,C068,1458,,,,
A,C069,1459,,,,
A,C07,1420,,,,
A,C080,1421,,,,
A,C081,1422,,,,
A,C088,1428,,,,
A,C089,1429,,,,
A,C090,1461,,,,
A,C091,1462,,,,
A,C098,1468,,,,
A,C099,1460,,,,
A,C100,1463,,,,
A,C101,1464,,,,
A,C102,1466,,,,
A,C103,1467,,,,
A,C104,1468,,,,
A,C108,1468,,,,
A,C109,1469,,,,
A,C110,1470,,,,
A,C111,1471,,,,
A,C112,1472,,,,
A,C113,1473,,,,
A,C118,1478,,,,
A,C119,1479,,,,
A,C12,1481,,,,
A,C130,1480,,,,
A,C131,1482,,,,
A,C132,1483,,,,
A,C138,1488,,,,
A,C139,1489,,,,
A,C140,1490,,,,
A,C142,1491,,,,
A,C148,1498,,,,
A,C150,1500,,,,
A,C151,1501,,,,
A,C152,1502,,,,
A,C153,1503,,,,
A,C154,1504,,,,
A,C155,1505,,,,
A,C158,1508,,,,
A,C159,1509,,,,
A,C160,1510,,,,
A,C161,1513,,,,
A,C162,1514,,,,
A,C163,1512,,,,
A,C164,1511,,,,
A,C165,1515,,,,
A,C166,1516,,,,
A,C168,1518,,,,
A,C169,1519,,,,
A,C170,1520,,,,
A,C171,1521,,,,
A,C172,1522,,,,
A,C173,1523,,,,
A,C178,1528,,,,
A,C179,1529,,,,
A,C180,1534,,,,
A,C181,1535,,,,
A,C182,1536,,,,
A,C183,1530,,,,
A,C184,1531,,,,
A,C185,1537,,,,
A,C186,1532,,,,
A,C187,1533,,,,
A,C188,1538,,,,
A,C189,1539,,,,
A,C19,1540,,,,
A,C20,1541,,,,
A,C210,1543,,,,
A,C211,1542,,,,
A,C212,1548,,,,
A,C218,1548,,,,
A,C220,1550,,,,
A,C221,1551,,,,
A,C222,1550,,,,
A,C223,1550,,,,
A,C224,1550,,,,
A,C227,1550,,,,
A,C229,1550,,,,
A,C23,1560,,,,
A,C240,1561,,,,
A,C241,1562,,,,
A,C248,1568,,,,
A,C249,1569,,,,
A,C250,1570,,,,
A,C251,1571,,,,
A,C252,1572,,,,
A,C253,1573,,,,
A,C254,1574,,,,
A,C257,1578,,,,
A,C258,1578,,,,
A,C259,1579,,,,
A,C260,1590,,,,
A,C261,1591,,,,
A,C268,1598,,,,
A,C269,1599,,,,
A,C300,1600,,,,
A,C301,1601,,,,
A,C310,1602,,,,
A,C311,1603,,,,
A,C312,1604,,,,
A,C313,1605,,,,
A,C318,1608,,,,
A,C319,1609,,,,
A,C320,1610,,,,
A,C321,1611,,,,
A,C322,1612,,,,
A,C323,1613,,,,
A,C328,1618,,,,
A,C329,1619,,,,
A,C33,1620,,,,
A,C340,1622,,,,
A,C341,1623,,,,
A,C342,1624,,,,
A,C343,1625,,,,
A,C348,1628,,,,
A,C349,1629,,,,
A,C37,1640,,,,
A,C380,1641,,,,
A,C381,1642,,,,
A,C382,1643,,,,
A,C383,1649,,,,
A,C384,1639,,,,
A,C388,1648,,,,
A,C390,1650,,,,
A,C398,1658,,,,
A,C399,1659,,,,
A,C400,1704,,,,
A,C401,1705,,,,
A,C402,1707,,,,
A,C403,1708,,,,
A,C408,1709,,,,
A,C409,1709,,,,
A,C4101,17001,,,,
A,C4102,17002,,,,
A,C411,1701,,,,
A,C412,1702,,,,
A,C413,1703,,,,
A,C414,1706,,,,
A,C418,1709,,,,
A,C419,1709,,,,
A,C430,1720,,,,
A,C431,1721,,,,
A,C432,1722,,,,
A,C433,1723,,,,
A,C434,1724,,,,
A,C435,1725,,,,
A,C436,1726,,,,
A,C437,1727,,,,
A,C438,1728,,,,
A,C439,1729,,,,
A,C440,1730,,,,
A,C441,1731,,,,
A,C442,1732,,,,
A,C443,1733,,,,
A,C444,1734,,,,
A,C445,1735,,,,
A,C446,1736,,,,
A,C447,1737,,,,
A,C448,1738,,,,
A,C449,1739,,,,
A,C450,1639,,,,
A,C451,1589,,,,
A,C452,1641,,,,
A,C457,1718,,,,
A,C459,1719,,,,
A,C460,1760,,,,
A,C461,1761,,,,
A,C462,1762,,,,
A,C463,1765,,,,
A,C467,1768,,,,
A,C468,1768,,,,
A,C469,1769,,,,
A,C470,1710,,,,
A,C471,1712,,,,
A,C472,1713,,,,
A,C473,1714,,,,
A,C474,1715,,,,
A,C475,1716,,,,
A,C476,1717,,,,
A,C478,1718,,,,
A,C479,1719,,,,
A,C480,1580,,,,
A,C481,1588,,,,
A,C482,1589,,,,
A,C488,1588,,,,
A,C490,1710,,,,
A,C491,1712,,,,
A,C492,1713,,,,
A,C493,1714,,,,
A,C494,1715,,,,
A,C495,1716,,,,
A,C496,1717,,,,
A,C498,1718,,,,
A,C499,1719,,,,
A,C500,1740,,,,
A,C501,1741,,,,
A,C502,1742,,,,
A,C503,1743,,,,
A,C504,1744,,,,
A,C505,1745,,,,
A,C506,1746,,,,
A,C508,1748,,,,
A,C509,1749,,,,
A,C510,1841,,,,
A,C511,1842,,,,
A,C512,1843,,,,
A,C518,1848,,,,
A,C519,1844,,,,
A,C52,1840,,,,
A,C530,1800,,,,
A,C531,1801,,,,
A,C538,1808,,,,
A,C539,1809,,,,
A,C540,1821,,,,
A,C541,1820,,,,
A,C542,1820,,,,
A,C543,1820,,,,
A,C548,1828,,,,
A,C549,1820,,,,
A,C55,179,,,,
A,C56,1830,,,,
A,C570,1832,,,,
A,C571,1833,,,,
A,C572,1835,,,,
A,C573,1834,,,,
A,C574,1839,,,,
A,C577,1848,,,,
A,C578,1848,,,,
A,C579,1849,,,,
A,C58,181,,,,
A,C600,1871,,,,
A,C601,1872,,,,
A,C602,1873,,,,
A,C608,1878,,,,
A,C609,1874,,,,
A,C61,185,,,,
A,C620,1860,,,,
A,C621,1869,,,,
A,C629,1869,,,,
A,C630,1875,,,,
A,C631,1876,,,,
A,C632,1877,,,,
A,C637,1878,,,,
A,C638,1878,,,,
A,C639,1879,,,,
A,C64,1890,,,,
A,C65,1891,,,,
A,C66,1892,,,,
A,C670,1880,,,,
A,C671,1881,,,,
A,C672,1882,,,,
A,C673,1883,,,,
A,C674,1884,,,,
A,C675,1885,,,,
A,C676,1886,,,,
A,C677,1887,,,,
A,C678,1888,,,,
A,C679,1889,,,,
A,C680,1893,,,,
A,C681,1894,,,,
A,C688,1898,,,,
A,C689,1899,,,,
A,C690,1903,,,,
A,C691,1904,,,,
A,C692,1905,,,,
A,C693,1906,,,,
A,C694,1900,,,,
A,C695,1902,,,,
A,C696,1901,,,,
A,C698,1908,,,,
A,C699,1909,,,,
A,C700,1921,,,,
A,C701,1923,,,,
A,C709,1921,,,,
A,C710,1910,,,,
A,C711,1911,,,,
A,C712,1912,,,,
A,C713,1913,,,,
A,C714,1914,,,,
A,C715,1915,,,,
A,C716,1916,,,,
A,C717,1917,,,,
A,C718,1918,,,,
A,C719,1919,,,,
A,C720,1922,,,,
A,C721,1922,,,,
A,C722,1920,,,,
A,C723,1920,,,,
A,C724,1920,,,,
A,C725,1920,,,,
A,C728,1928,,,,
A,C729,1929,,,,
A,C73,193,,,,
A,C740,1940,,,,
A,C741,1940,,,,
